ID,down,initial,up,YY,YN,NY,NN,NNY,NNN,No,Yes,income,male,age,c_water,I_P_water,I_P_sw_water,Clean_water,Se_service,I_sw_water,Smell,F_sw_water,I_sw_water,N_sw_water,E_health,E_water,E_ecosystem,E_smell,P_sw_water,P_water
2155,4500,9000,18000,0,1,0,0,0,0,0,1,410,1,55,4,5,3,4,3,1.5,4,3,3,4,5,4,4,4,3,0
2156,45000,90000,180000,0,0,0,1,0,1,1,0,290,0,60,5,5,4,5,4,1.5,4,3,5,5,4,5,4,4,3,0
2157,45000,90000,180000,0,0,1,0,0,0,1,0,560,0,51,4,2,4,1,4,1.333333333,4,3,4,2,3,2,4,4,3,1
2158,4500,9000,18000,1,0,0,0,0,0,0,1,550,1,43,5,5,5,5,4,1.5,4,4,3,5,3,5,2,3,4,1
2159,4500,9000,18000,0,1,0,0,0,0,0,1,280,1,34,4,4,4,5,3,1.333333333,4,3,4,4,5,4,5,3,4,0
2160,4500,9000,18000,0,0,0,1,0,1,1,0,280,0,35,4,4,5,5,4,1.833333333,3,3,4,4,4,5,4,5,4,0
2161,25000,50000,100000,0,0,0,1,0,1,1,0,30,1,23,4,3,3,4,4,1.666666667,3,3,3,3,3,3,4,3,3,0
2162,45000,90000,180000,1,0,0,0,0,0,0,1,600,1,28,5,5,5,5,5,1,4,4,5,5,5,5,5,5,5,1
2163,4500,9000,18000,0,0,1,0,0,0,1,0,240,0,44,4,4,4,4,5,1,4,2,4,4,4,5,5,4,3,0
2164,45000,90000,180000,0,0,0,1,0,1,1,0,890,1,42,4,4,4,4,4,1,4,4,4,4,4,4,4,4,2,1
2165,7500,15000,30000,0,1,0,0,0,0,0,1,480,0,34,5,5,5,4,4,1.666666667,4,3,1,5,4,3,4,5,4,0
2166,25000,50000,100000,0,0,0,1,1,0,1,0,450,0,31,5,4,4,5,5,1.833333333,3,3,4,5,4,4,4,4,3,0
2167,7500,15000,30000,0,0,0,1,0,1,1,0,50,1,40,3,5,5,5,5,1.5,3,2,4,4,4,4,4,4,3,1
2168,4500,9000,18000,0,1,0,0,0,0,0,1,380,1,55,5,4,3,4,3,1.333333333,3,4,4,5,3,4,5,4,3,1
2169,4500,9000,18000,0,0,1,0,0,0,1,0,230,1,28,4,4,3,3,3,1.333333333,4,4,4,3,3,4,4,3,4,0
2170,7500,15000,30000,0,0,0,1,0,1,1,0,550,1,24,5,4,5,5,4,1.333333333,4,3,4,4,4,4,5,4,2,1
2171,45000,90000,180000,0,0,1,0,0,0,1,0,620,1,32,4,4,3,4,4,1.333333333,4,3,3,4,4,4,5,4,2,0
2172,25000,50000,100000,0,0,0,1,1,0,1,0,320,0,33,5,5,4,5,5,1.333333333,5,4,4,5,5,5,5,5,2,1
2173,25000,50000,100000,0,0,0,1,0,1,1,0,220,1,29,4,4,3,4,4,1.833333333,3,4,3,4,4,5,5,4,4,0
2174,7500,15000,30000,0,0,0,1,0,1,1,0,320,1,36,5,4,5,4,5,1.333333333,4,3,4,5,4,5,3,4,4,0
2175,45000,90000,180000,0,0,0,1,0,1,1,0,230,1,30,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,0
2176,13500,27000,54000,0,1,0,0,0,0,0,1,1020,1,47,4,4,4,4,3,1.833333333,4,4,4,4,5,4,4,4,4,0
2177,13500,27000,54000,0,0,0,1,0,1,1,0,650,0,32,4,5,2,5,4,1.5,4,3,4,5,4,5,1,4,5,0
2178,25000,50000,100000,0,1,0,0,0,0,0,1,670,1,62,5,4,3,4,2,1.5,4,3,4,5,3,2,3,1,4,0
2179,25000,50000,100000,0,1,0,0,0,0,0,1,460,1,46,4,3,3,3,3,1.666666667,4,4,4,5,3,4,3,5,4,0
2180,45000,90000,180000,0,0,1,0,0,0,1,0,360,0,61,4,3,3,4,4,1.333333333,4,4,3,5,3,5,4,4,3,0
2181,45000,90000,180000,0,1,0,0,0,0,0,1,650,0,53,4,4,4,5,4,1,2,3,3,4,4,4,4,4,3,1
2183,45000,90000,180000,0,1,0,0,0,0,0,1,350,1,23,4,4,4,5,4,1.166666667,2,4,4,4,4,5,5,5,4,1
2184,4500,9000,18000,1,0,0,0,0,0,0,1,240,1,41,4,5,4,4,5,1.333333333,4,3,4,5,5,5,4,4,4,0
2185,4500,9000,18000,0,1,0,0,0,0,0,1,430,1,34,4,4,4,5,5,1.333333333,5,3,4,5,3,3,3,4,4,1
2186,7500,15000,30000,0,0,1,0,0,0,1,0,310,0,25,4,5,4,5,4,1.833333333,3,3,3,3,3,3,3,3,2,0
2187,13500,27000,54000,0,1,0,0,0,0,0,1,140,0,26,3,4,3,4,3,1.666666667,4,3,3,4,4,4,4,5,3,0
2188,25000,50000,100000,0,0,1,0,0,0,1,0,480,1,31,5,4,4,4,4,1.166666667,4,5,4,5,4,4,5,5,4,0
2189,7500,15000,30000,0,1,0,0,0,0,0,1,430,0,36,4,4,5,5,4,1.166666667,4,4,4,5,4,5,5,3,4,1
2190,7500,15000,30000,0,0,0,1,0,1,1,0,320,0,28,4,4,4,4,3,1.5,2,4,2,4,4,4,4,4,2,0
2191,7500,15000,30000,0,0,0,1,0,1,1,0,620,0,44,4,4,3,4,4,1.166666667,4,3,4,4,4,5,4,4,2,0
2192,25000,50000,100000,0,0,0,1,0,1,1,0,350,1,41,4,5,5,4,4,2,4,3,4,5,3,3,3,4,2,0
2193,45000,90000,180000,1,0,0,0,0,0,0,1,500,1,51,4,3,3,4,4,1.833333333,3,3,3,4,3,4,4,3,4,0
2194,7500,15000,30000,1,0,0,0,0,0,0,1,580,1,52,5,4,2,5,5,1,1,4,4,5,2,5,5,5,1,1
2195,7500,15000,30000,1,0,0,0,0,0,0,1,870,0,25,5,4,5,5,4,1.5,4,3,4,4,4,5,3,4,4,0
2196,45000,90000,180000,0,0,1,0,0,0,1,0,380,1,57,4,4,4,3,4,1.333333333,4,4,2,5,5,5,4,4,2,0
2197,4500,9000,18000,1,0,0,0,0,0,0,1,600,1,37,4,4,4,4,4,1.5,4,3,3,5,4,5,5,5,3,0
